id	modified	language	datasetID	datasetName	dynamicProperties	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	fieldNumber	eventRemarks	locationID	waterBody	country	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	verbatimDepth	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	footprintWKT	footprintSRS	georeferenceRemarks
RCMed-survey-16	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-16		RCMed U-CEM protocol				2006-05-29				2006	5	29												20	40	42.73349	10.27898	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-17	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-17		RCMed U-CEM protocol				2006-05-30				2006	5	30												10	40	42.71276	10.43599	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-18	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-18		RCMed U-CEM protocol				2006-05-31				2006	5	31												15	45	42.7056	10.40715	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-19	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-19		RCMed U-CEM protocol				2006-02-06				2006	2	6												4	38	42.73349	10.27898	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-20	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-20		RCMed U-CEM protocol				2006-02-06				2006	2	6												10	35	42.80859	10.2041	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-21	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-21		RCMed U-CEM protocol				2006-03-06				2006	3	6												15	40	42.72758	10.28926	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-22	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-22		RCMed U-CEM protocol				2006-07-06				2006	7	6												4	32	39.9937	15.4242	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-23	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-23		RCMed U-CEM protocol				2006-07-06				2006	7	6												5	20	39.9937	15.4242	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-24	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-24		RCMed U-CEM protocol				2006-06-17				2006	6	17												10	38	42.13887	15.50999	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-25	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-25		RCMed U-CEM protocol				2006-06-17				2006	6	17												10	27	42.13948	15.51133	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-26	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-26		RCMed U-CEM protocol				2006-07-06				2006	7	6												5	21	39.9937	15.4242	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-27	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-27		RCMed U-CEM protocol				2006-04-28				2006	4	28												5	25	38.18675	15.56813	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-28	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-28		RCMed U-CEM protocol				2006-04-28				2006	4	28												5	37	38.25618	15.7131	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-29	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-29		RCMed U-CEM protocol				2006-04-30				2006	4	30												10	28	38.334	15.82848	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-30	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-30		RCMed U-CEM protocol				2006-01-05				2006	1	5												10	18	38.32771	15.82652	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-31	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-31		RCMed U-CEM protocol				2006-01-05				2006	1	5												25	38	38.25618	15.7131	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-32	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-32		RCMed U-CEM protocol				2006-06-25				2006	6	25												3	6	44.33548	9.2668	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-33	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-33		RCMed U-CEM protocol				2006-06-24				2006	6	24												3	25	42.13158	15.50663	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-34	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-34		RCMed U-CEM protocol				2006-06-24				2006	6	24												3	20	42.1301	15.508	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-35	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-35		RCMed U-CEM protocol				2006-06-24				2006	6	24												4	16	42.1055	15.48482	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-36	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-36		RCMed U-CEM protocol				2006-06-25				2006	6	25												4	32	42.13887	15.50999	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-37	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-37		RCMed U-CEM protocol				2006-06-28				2006	6	28												20	34	44.29798	9.21953	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-38	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-38		RCMed U-CEM protocol				2006-02-07				2006	2	7												15	33	44.02288	8.22627	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-39	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-39		RCMed U-CEM protocol				2006-02-07				2006	2	7												8	35	44.02573	8.22962	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-40	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-40		RCMed U-CEM protocol				2006-07-06				2006	7	6												5	35	39.9937	15.4242	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-41	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-41		RCMed U-CEM protocol				2006-06-24				2006	6	24												5	32	44.30883	9.17833	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-42	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-42		RCMed U-CEM protocol				2006-01-07				2006	1	7												35	41	40.69905	14.46824	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-43	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-43		RCMed U-CEM protocol				2006-02-07				2006	2	7												6	21	40.6595	14.4044	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-44	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-44		RCMed U-CEM protocol				2006-06-24				2006	6	24												5	23	42.24388	11.11036	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-45	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-45		RCMed U-CEM protocol				2006-02-07				2006	2	7												22	30	41.21946	13.0514	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-46	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-46		RCMed U-CEM protocol				2006-03-07				2006	3	7												3	27	42.57488	10.88408	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-47	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-47		RCMed U-CEM protocol				2006-03-07				2006	3	7												3	27	42.57488	10.88408	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-48	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-48		RCMed U-CEM protocol				2006-04-07				2006	4	7												3	35	42.57488	10.88408	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-49	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-49		RCMed U-CEM protocol				2006-04-07				2006	4	7												3	10	42.36478	10.91949	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-50	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-50		RCMed U-CEM protocol				2006-04-07				2006	4	7												3	10	42.36478	10.91949	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-51	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-51		RCMed U-CEM protocol				2006-09-07				2006	9	7												10	28	44.29798	9.21953	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-52	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-52		RCMed U-CEM protocol				2006-09-07				2006	9	7												5	25	44.3055	9.19673	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-53	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-53		RCMed U-CEM protocol				2006-08-07				2006	8	7												10	33	44.30841	9.18301	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-54	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-54		RCMed U-CEM protocol				2006-08-07				2006	8	7												5	30	44.30421	9.19835	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-55	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-55		RCMed U-CEM protocol				2006-11-06				2006	11	6												9	25	44.1335	9.636	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-56	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-56		RCMed U-CEM protocol				2006-11-06				2006	11	6												9	25	44.1335	9.636	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-57	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-57		RCMed U-CEM protocol				2006-11-06				2006	11	6												9	27	44.18116	9.5705	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-58	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-58		RCMed U-CEM protocol				2006-11-07				2006	11	7												6	15	39.78916	18.36683	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-59	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-59		RCMed U-CEM protocol				2006-07-06				2006	7	6												4	29	39.9937	15.4242	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-60	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-60		RCMed U-CEM protocol				2006-09-07				2006	9	7												12	28	44.29798	9.21953	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-62	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-62		RCMed U-CEM protocol				2006-09-07				2006	9	7												10	28	44.29798	9.21953	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-63	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-63		RCMed U-CEM protocol				2006-09-07				2006	9	7												1	30	44.29798	9.21953	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-64	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-64		RCMed U-CEM protocol				2006-11-06				2006	11	6												9	25	44.1335	9.636	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-65	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-65		RCMed U-CEM protocol				2006-11-06				2006	11	6												9	25	44.1335	9.636	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-66	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-66		RCMed U-CEM protocol				2006-08-07				2006	8	7												10	24	42.25883	11.1015	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-67	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-67		RCMed U-CEM protocol				2006-09-04				2006	9	4												10	30	42.69333	10.99328	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-68	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-68		RCMed U-CEM protocol				2006-07-16				2006	7	16												7	22	40.6336	14.3666	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-69	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-69		RCMed U-CEM protocol				2006-08-07				2006	8	7												15	40	40.69905	14.46824	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-70	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-70		RCMed U-CEM protocol				2006-07-16				2006	7	16												11	17	41.92688	12.02626	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-71	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-71		RCMed U-CEM protocol				2006-07-17				2006	7	17												15	32	43.46206	10.34148	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-72	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-72		RCMed U-CEM protocol				2009-09-07				2009	9	7												8	24	42.35416	11.17	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-73	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-73		RCMed U-CEM protocol				2006-03-07				2006	3	7												5	37	42.57488	10.88408	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-74	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-74		RCMed U-CEM protocol				2006-05-07				2006	5	7												28	40	42.35954	11.14698	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-75	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-75		RCMed U-CEM protocol				2006-05-07				2006	5	7												24	34	42.35954	11.14698	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-76	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-76		RCMed U-CEM protocol				2006-06-07				2006	6	7												5	40	42.38898	10.87954	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-77	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-77		RCMed U-CEM protocol				2006-06-07				2006	6	7												15	35	42.5801	10.8759	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-78	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-78		RCMed U-CEM protocol				2006-07-22				2006	7	22												5	35	40.6595	14.4044	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-79	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-79		RCMed U-CEM protocol				2006-07-23				2006	7	23												5	35	40.6595	14.4044	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-80	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-80		RCMed U-CEM protocol				2006-07-22				2006	7	22												10	30	44.02288	8.22627	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-81	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-81		RCMed U-CEM protocol				2006-07-22				2006	7	22												10	30	44.02573	8.22962	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-88	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-88		RCMed U-CEM protocol				2006-06-24				2006	6	24												3	26	42.13158	15.50663	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-89	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-89		RCMed U-CEM protocol				2006-06-24				2006	6	24												3	25	42.1301	15.508	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-90	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-90		RCMed U-CEM protocol				2006-06-25				2006	6	25												3	27	42.13884	15.50997	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-91	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-91		RCMed U-CEM protocol				2006-06-25				2006	6	25												3	30	42.13959	15.51193	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-92	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-92		RCMed U-CEM protocol				2006-08-07				2006	8	7												3	36	42.25883	11.1015	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-93	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-93		RCMed U-CEM protocol				2006-08-07				2006	8	7												3	25	42.2443	11.1111	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-94	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-94		RCMed U-CEM protocol				2006-09-07				2006	9	7												3	26	42.41852	11.0815	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-95	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-95		RCMed U-CEM protocol				2006-09-07				2006	9	7												3	25	42.35416	11.17	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-96	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-96		RCMed U-CEM protocol				2006-09-08				2006	9	8												2	10	44.37133	9.07266	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-97	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-97		RCMed U-CEM protocol				2006-09-08				2006	9	8												2	10	44.36666	9.06666	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-98	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-98		RCMed U-CEM protocol				2006-08-13				2006	8	13												10	35	44.0251	8.22956	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-99	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-99		RCMed U-CEM protocol				2006-06-08				2006	6	8												9	38	44.30875	9.17868	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-100	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-100		RCMed U-CEM protocol				2006-08-23				2006	8	23												14	26	44.32055	9.1445	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-101	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-101		RCMed U-CEM protocol				2006-08-23				2006	8	23												10	27	44.3055	9.19673	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-102	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-102		RCMed U-CEM protocol				2006-08-13				2006	8	13												6	50	44.30883	9.17833	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-103	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-103		RCMed U-CEM protocol				2006-02-08				2006	2	8												5	36	44.3217	9.14778	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-104	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-104		RCMed U-CEM protocol				2006-08-29				2006	8	29												10	30	44.29798	9.21953	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-105	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-105		RCMed U-CEM protocol				2006-08-29				2006	8	29												10	30	44.29798	9.21953	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-106	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-106		RCMed U-CEM protocol				2006-07-23				2006	7	23												12	31	43.47187	10.3319	EPSG:4326	200.0		EPSG:4326	
RCMed-survey-107	2021-03-17 13:34:06	en	IMIS:dasid:6454	Reef Check Med - key Mediterranean marine species 2001-2020		RCMed-survey-107		RCMed U-CEM protocol				2006-03-09				2006	3	9												15	40	44.30883	9.17833	EPSG:4326	200.0		EPSG:4326	
